FrameNumber,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,x51,y51,x52,y52,x53,y53,x54,y54,x55,y55,x56,y56,x57,y57,x58,y58,x59,y59,x60,y60,x61,y61,x62,y62,x63,y63,x64,y64,x65,y65,x66,y66,x67,y67,x68,y68,x69,y69,x70,y70,x71,y71,x72,y72,x73,y73,x74,y74,x75,y75
10,568.493,224.215,489.11,338.913,433.051,356.62,0.0,0.0,0.0,0.0,550.839,318.271,609.756,412.677,724.579,459.747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.322,212.462,559.668,200.646,480.154,241.892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.96,200.759,1319.12,265.304,1327.77,268.294,1392.71,385.955,1478.03,377.218,1313.22,256.52,1383.82,359.601,1463.25,342.093,1339.66,456.764,1345.58,471.418,1492.71,430.112,1563.33,559.727,0.0,0.0,0.0,0.0,0.0,0.0,1375.11,194.702,0.0,0.0,1351.31,200.611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1345.56,647.955,1354.33,845.212,1227.82,848.175,0.0,0.0,0.0,0.0,1478.02,842.232,0.0,0.0,1639.93,1074.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310.22,630.313,1371.96,624.497,1280.93,692.0,1401.64,668.701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,568.478,224.209,489.089,338.889,433.031,356.607,0.0,0.0,0.0,0.0,550.837,315.539,612.687,412.668,724.571,459.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.316,212.462,559.705,200.655,480.172,244.618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.94,200.768,1319.11,265.314,1327.78,268.307,1395.49,386.043,1478.01,380.1,1313.21,256.538,1383.8,362.361,1463.24,344.839,1333.8,459.62,1339.73,474.396,1492.72,430.101,1563.32,559.769,0.0,0.0,0.0,0.0,0.0,0.0,1375.09,194.704,0.0,0.0,1351.3,200.609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1345.55,647.969,1354.35,848.129,1227.81,848.202,0.0,0.0,0.0,0.0,1478.04,842.311,0.0,0.0,1639.98,1074.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310.23,630.323,1371.97,624.516,1280.93,689.278,1401.63,668.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,568.484,224.218,489.105,338.896,430.218,356.62,0.0,0.0,0.0,0.0,550.931,318.259,609.763,412.604,724.523,459.767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.321,215.292,559.707,200.659,480.154,244.616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.95,200.758,1319.07,265.303,1327.86,268.307,1395.62,386.092,1478.03,380.139,1310.26,256.538,1380.96,362.405,1463.24,344.861,1333.8,459.636,1345.56,471.47,1492.73,427.314,1563.35,562.629,0.0,0.0,0.0,0.0,0.0,0.0,1375.1,194.701,0.0,0.0,1351.31,200.605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1345.55,647.984,1354.33,845.226,1227.78,848.192,0.0,0.0,0.0,0.0,1478.03,842.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310.21,630.345,1371.95,624.519,1280.92,689.264,1401.61,668.698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,568.48,224.244,489.056,338.891,430.223,356.615,0.0,0.0,0.0,0.0,550.872,318.259,609.78,412.649,727.513,459.808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.323,215.328,559.706,200.703,480.152,244.649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.96,200.777,1316.18,265.32,1327.82,268.298,1395.63,386.164,1478.06,380.126,1310.22,256.61,1383.85,362.478,1463.34,344.837,1336.73,459.646,1345.62,474.337,1492.74,430.099,1563.3,559.698,0.0,0.0,0.0,0.0,0.0,0.0,1375.1,194.709,0.0,0.0,1351.3,200.612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1345.55,647.971,1354.35,848.135,1224.93,848.176,0.0,0.0,0.0,0.0,1480.93,845.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310.22,630.337,1371.95,624.517,1280.92,689.266,1401.61,668.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,568.491,224.226,486.23,338.938,430.126,359.525,0.0,0.0,0.0,0.0,550.898,318.265,609.74,412.686,727.513,459.792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.336,215.319,559.718,200.692,480.146,244.647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.96,200.77,1316.17,265.31,1327.85,268.294,1395.63,386.173,1478.03,377.273,1307.39,256.617,1380.91,362.372,1460.3,344.931,1339.64,459.57,1351.36,468.523,1492.73,430.098,1563.33,559.684,0.0,0.0,0.0,0.0,0.0,0.0,1375.11,194.71,0.0,0.0,1351.3,200.616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1345.55,647.973,1354.36,848.149,1227.79,851.054,0.0,0.0,0.0,0.0,1480.91,845.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310.22,630.326,1371.95,624.51,1280.91,689.248,1401.61,668.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,565.65,224.277,489.051,338.923,430.19,359.514,0.0,0.0,0.0,0.0,550.901,318.265,609.799,412.665,727.5,459.802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.289,215.376,559.673,200.72,480.15,244.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.95,200.766,1316.16,265.321,1327.86,268.314,1398.41,388.919,1478.04,380.1,1307.36,256.612,1380.93,362.449,1460.38,344.906,1336.74,459.615,1348.53,471.408,1492.73,427.304,1560.48,556.758,0.0,0.0,0.0,0.0,0.0,0.0,1375.1,194.7,0.0,0.0,1351.31,200.608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1345.56,647.972,1354.39,848.204,1227.79,848.196,0.0,0.0,0.0,0.0,1483.85,848.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310.21,630.321,1371.95,624.516,1280.91,689.251,1401.61,671.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,568.468,224.274,489.094,338.901,430.216,356.603,0.0,0.0,0.0,0.0,550.935,318.291,609.795,412.623,724.562,459.787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.281,215.348,559.672,200.683,480.13,241.883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.94,200.757,1316.13,265.322,1327.86,268.3,1395.63,386.165,1478.06,380.097,1307.32,259.461,1380.93,362.43,1460.39,344.892,1333.87,459.635,1348.47,471.391,1492.71,430.113,1563.28,556.84,0.0,0.0,0.0,0.0,0.0,0.0,1375.09,194.69,0.0,0.0,1351.31,200.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1345.56,647.975,1354.36,848.163,1227.78,848.159,0.0,0.0,0.0,0.0,1480.97,848.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310.22,630.334,1371.94,624.516,1280.91,689.266,1401.61,668.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,568.476,224.258,489.11,338.895,430.257,356.681,0.0,0.0,0.0,0.0,550.904,318.252,606.817,412.546,724.565,459.784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.298,215.359,559.682,200.713,480.116,244.612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.95,200.751,1316.16,265.314,1327.85,268.298,1395.64,386.162,1478.03,380.168,1307.37,256.619,1380.93,362.414,1460.38,344.908,1336.7,459.63,1348.49,471.419,1492.74,430.1,1563.39,559.726,0.0,0.0,0.0,0.0,0.0,0.0,1375.11,194.697,0.0,0.0,1351.31,200.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1345.56,647.965,1354.38,848.169,1227.83,851.044,0.0,0.0,0.0,0.0,1480.92,845.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310.23,630.321,1371.94,624.514,1280.91,689.267,1401.62,671.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,568.483,224.237,489.065,338.953,430.257,359.626,0.0,0.0,0.0,0.0,550.891,315.525,606.817,412.571,724.566,459.791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.308,215.344,559.695,200.695,480.12,244.629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.96,200.738,1316.13,265.344,1327.86,268.332,1398.45,388.915,1478.06,380.161,1307.33,259.476,1380.95,362.465,1463.23,344.908,1336.78,459.628,1351.34,468.512,1492.71,427.309,1563.38,559.744,0.0,0.0,0.0,0.0,0.0,0.0,1375.11,194.683,0.0,0.0,1351.31,200.603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1345.57,647.967,1354.38,848.148,1227.82,848.195,0.0,0.0,0.0,0.0,1480.94,845.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310.24,630.331,1371.95,624.525,1280.91,691.997,1401.6,668.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,568.501,224.272,489.048,338.927,430.199,359.57,0.0,0.0,0.0,0.0,550.89,315.536,609.709,412.606,730.422,459.815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.319,215.335,559.728,200.706,480.107,244.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.97,200.734,1316.19,265.334,1327.85,268.327,1398.47,386.174,1478.02,380.145,1310.21,256.61,1380.95,362.456,1463.22,344.924,1333.87,459.617,1348.49,468.527,1492.71,427.304,1563.42,559.747,0.0,0.0,0.0,0.0,0.0,0.0,1375.12,194.684,0.0,0.0,1351.31,200.593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1345.57,647.964,1354.38,848.176,1227.81,851.069,0.0,0.0,0.0,0.0,1480.95,845.213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310.24,630.321,1371.95,624.524,1280.91,689.273,1401.61,671.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
